	BL001	BL007	BL008	BL013	BL019	BL020	BL030	BL031	BL032	BL033	BL034	BL035	BL036	BL037	BL038	BL040	BL041	BL043	BL048	BL049	BL051	BL052	BL055	BL057	BL059	BL060	BL061	BL065	BL067	BL069	BL073	BL074	BL075	BL085	BL086	BL092	BL093	BL099	BL100	BL103	BL107	BL108	BL109	BL110	BL111	BL112	BL114	BL115	BL116	BL117	BL118	BL120	BL121	BL122	BL124	BL126	BL128	BL130
ERVMER34-1	-0.2094680085	0.122080135	1.314247678	-0.109729881	0.0309186100000001	-0.306417593	0.0375923899999999	-0.319081627	0.194814305	-0.429961051	-0.346951584	-0.132993983	-0.496428287999999	0.076091017	0.486826627	-0.30569117	-0.0837929489999998	0.231442559	-0.253369423	0.182978135	-0.0309186100000001	0.183103475	0.16361206	-0.263268405999999	0.151206814	-0.31972672	-0.128076016999999	0.372894797	0.068822254000001	0.0531678810000007	0.485900509	0.450479373	0.0992148980000001	-0.123238136	-0.0558753899999993	-0.0473223039999993	-0.113498584	-0.204266568	0.648246119000001	0.455680305	0.169247915	-0.200596550999999	1.104049949	0.188742407	-0.3201001265	-0.319071982999999	0.285423703	0.950955543	2.871496356	-0.269205634999999	-0.276597097	-0.386792492	-0.117490847	0.0536262029999999	0.149206745	-0.140032152	-0.0471419489999998	0.277300491000001
CES1	0.14746319475	0.37755999925	-0.12651699975	1.16722044125	-0.105485542749999	-0.12976611875	0.28441133925	-0.02450659375	-0.21525023775	0.22647050825	-0.0912363307499993	-0.15753564375	0.80039228825	0.00726421124999987	-0.0395938987499997	0.12200935525	-0.00103303374999975	0.0170475422500003	0.56077652525	-0.22509059375	-0.12392127175	-0.0550448387499998	-0.10543416075	-0.16991137275	-0.0907444747500001	-0.013918101749999	-0.21455464475	0.0190392882500001	0.114375355250001	-0.0623131357499993	0.475647678250001	-0.20031437375	-0.120944144749999	-0.0369976947500001	0.738003576250001	0.0170475422500003	0.66671091525	0.45994874525	-0.24976984775	-0.14823905975	0.23640976225	0.181601618250001	-0.02165596575	0.00199881325000018	0.00103303374999975	-0.0418471187499998	0.0310922282500004	0.0170475422500003	-0.06147506775	0.270845500250001	0.75514857225	1.47588655925	0.16649215325	-0.14325222075	-0.11820259375	2.23851783125	0.14645496525	-0.22163827175
FMNL2	-0.148837016499999	0.17034372	-0.233647974	-0.186299296	-0.211398941	0.00171961899999973	0.590342924	0.477939381	-0.197441161	0.654172941	-0.163953203	-0.104717754	0.128474127000001	-0.00731307600000042	-0.0404528389999999	-0.189574237	-0.149705584	0.308231873	0.045480043	-0.230416466	0.398803822	-0.133372813	-0.137141127	-0.13238411	0.0518431779999999	-0.28968944	-0.288546924	0.293546772	-0.0148032969999998	0.261130974000001	0.0049030929999998	-0.353298365	-0.225362415	0.327988568	-0.00171961899999973	-0.217961278999999	-0.142661380999999	0.258145093	-0.516688	-0.0478015849999998	-0.13238411	0.107634635000001	0.299720924	0.00196094099999966	0.930202627499999	0.436960830000001	-0.0395412709999996	0.0570678729999998	0.455325398	0.411727746000001	0.322684954	0.158264754000001	0.548519551	-0.0677454829999999	0.562614974	0.0801561620000002	0.236478313	-0.324488975
KLHDC9	-0.061025458	-0.2703719075	0.7460813475	-0.00584526249999984	0.0861226524999998	0.2802292455	-0.4889122625	-0.1883916865	0.00584526249999984	-0.2945773305	0.2039096445	0.0768970085	-0.151417720499999	-0.0865909745000004	-0.0867349915000006	-0.3129234325	0.5222331275	-0.0168259405	-0.313106093500001	1.0870605505	-0.2429319075	-0.3666932285	0.1919617885	0.0611115345000006	-0.1655253135	0.0931466955000002	0.1625059575	-0.250551143500001	-0.128946534499999	0.5098771775	-0.1546870935	0.3860092965	1.2754572455	-0.0825294324999999	0.0286921095000001	0.1913555685	-0.2936403725	-0.242951839499999	0.0351710425000005	0.0387880424999998	0.1769928725	0.1497132965	0.1261735335	0.1451332965	0.357871626999999	1.7794782455	3.2767531945	0.9153763135	0.0366926094999998	-0.0488334404999997	0.382079072499999	-0.1955736865	-0.1639787035	-0.0526072635000001	-0.3596305515	-0.0282049915000004	-0.371738992500001	-0.162271280499999
CRH	-0.159043661000001	-0.1102522965	-0.0725136525000001	1.9406585345	-0.1181593815	-0.0442970255000001	-0.00511660150000059	0.0246346525000001	0.4671917705	-0.1677781615	0.0740540334999999	0.0358011614999998	-0.00108602549999981	0.0179958384999996	-0.2512849405	0.0294202454999994	0.0493660254999999	-0.0553049495000004	0.00108602549999981	-0.2041184325	-0.1726081615	0.7215889745	-0.0102041695000001	0.1382739245	-0.104129974500001	-0.0143705084999994	0.0918084824999998	0.0457605844999995	0.2039278725	-0.0859210424999994	0.250762889499999	1.1439998725	4.6857340235	-0.00743982250000075	1.1316170595	0.1343332465	-0.0334967035000004	-0.1359473645	3.3297962415	0.3693544485	4.4140778765	0.4733221605	-0.0508241604999999	-0.129786686500001	0.549844575999999	-0.0659129574999997	-0.0157105254999999	-0.0719420335000005	-0.0207195004999998	-0.1762386445	0.1465347845	0.2928650415	0.0756376354999992	-0.162184636500001	-0.00193516150000006	0.0351648054999996	-0.0989933475	0.0757698384999999
GPAT2	0.2379337785	0.244995821	-0.0225011269999995	0.124871246	-0.108229179	0.312986161	0.0668696350000002	-0.195918653	-0.070463196	-0.0417399069999997	-0.0491109499999998	-0.205998856	0.0904794660000001	0.571300600999999	-0.163610263	0.121330076	-0.0146497459999995	-0.111904534	-0.00728858499999996	0.363605974	-0.106620602	-0.193045212	0.0797259399999999	0.130458161	0.971175703	0.502686983000001	-0.266749908	-0.0603778389999996	-0.216503466999999	-0.0402166199999994	-0.163327534	0.310913279	0.0695830420000001	0.00239977099999988	0.0441007870000001	0.0737308049999998	0.0548778730000001	-0.0997969079999996	-0.23094467	-0.246111093999999	-0.384885662	0.0252971770000001	0.337222194	-0.111637602000001	-0.0618127804999999	-0.0126318569999992	0.0488089060000001	-0.0116863139999999	0.954356143	0.0386042710000001	0.0474582069999996	-0.0481510940000001	-0.00239977099999988	0.0629927699999997	0.142927465	0.285671313	-0.0180619419999997	0.0891458890000005
METTL7B	0.5481002125	0.50066356	0.138425628	0.934455408	-0.00460701600000002	0.083442695	-0.0580067620000002	0.108371763	-0.294204627	0.0270624239999999	0.390864162	0.462065272	0.0901329160000004	0.0786916109999996	-0.176784864	0.0601810679999999	0.722393865	-0.00727974500000039	0.0235933569999998	0.756477915	0.00290857599999983	0.0422003059999994	0.861024814	-0.126336592	0.34690895	0.0246469920000005	1.205706797	-0.0355392540000001	-0.177240966	-0.0813795420000001	-0.130121983	-0.00515550800000009	0.368852848	-0.0961764060000001	0.034775577	-0.0594967959999999	-0.174734008	-0.289382017	-0.314405991	0.152619695	0.851220915999999	-0.163009017	0.13679117	0.0543871869999992	0.1372378395	-0.172420441	-0.031569508	-0.0256006180000008	-0.117587127	0.104265839	-0.108720292000001	-0.00290857599999983	-0.00515550800000009	-0.145471695	-0.142417576	-0.179637372000001	-0.0374865930000001	-0.021027949
GRAMD2A	-0.0829706099999998	-0.0460265004999996	-0.254763194499999	0.1253696865	-0.257483923499999	-0.1158519405	0.3728153815	-0.1174338055	-0.2376183815	-0.0538575174999996	0.369527627500001	-0.2028108555	0.0986402285000003	-0.1001977715	-0.1387930935	0.0747193474999999	0.261659500500001	-0.0540805934999997	0.1110839665	-0.0927279075	0.1012634995	0.5502538735	0.0580480084999997	-0.0943435844999994	-0.0344107545000001	0.0535349745000002	-0.1153484835	0.00309385650000005	-0.242512754499999	0.1729846355	-0.00309385650000005	-0.00984607650000013	-0.0695001444999996	-0.0286351274999999	0.0906058215000001	0.4566037205	0.1675455175	-0.0397112374999993	0.0425539745000001	-0.00679958449999996	-0.2859179405	0.403954685500001	-0.0561656444999996	0.3621874995	0.0925819149999998	0.0535349745000002	1.1070157535	0.00336422949999937	1.3681602965	0.1316687455	-0.0587295715000002	-0.1712656695	-0.0346755164999997	0.2020349405	0.4124851435	-0.0314814315	0.0554665845	0.0102087365000005
SLC10A4	-0.239707966	0.1607774825	-0.0114706524999995	0.0594073815000002	-0.1252773305	0.00511438149999988	-0.0363342625	0.1558096015	-0.00511438149999988	0.0167893985000007	0.0243663055000005	0.0648731105000002	-0.125002313499999	-0.0780933735000002	-0.1941288725	0.1036624995	-0.0373312114999993	-0.0730476615	0.1264190765	-0.1079377545	0.2064023305	-0.1795578385	-0.0093654485000001	-0.0125701694999996	0.505462059500001	-0.0573925254999996	-0.127265992499999	0.0373183815	-0.167025127499999	-0.0443952124999991	-0.0889684324999993	-0.0149331524999998	0.0634725845000008	0.0654785844999997	-0.0597947034999993	0.148676958500001	0.0105290175000001	0.0259759915000006	-0.303073796499999	0.0273868215000008	-0.2848028055	0.1156723635	0.2025155675	0.0988641945000004	2.847088186	0.139533719500001	0.0973207034999999	0.0279293475000002	-0.00967975450000003	0.0398003385000005	0.0266241905000002	-0.1105237715	0.1207369915	0.0786542625000002	-0.00953836449999956	-0.0481692284999995	-0.1169068565	-0.0944842464999991
ALDH3A1	4.5840985185	0.0532819230000001	-0.0714995759999999	-0.195234254	0.28696922	-0.0737226610000006	0.177941085	0.03669922	0.0889568980000002	3.137369508	-0.122200041999999	-0.0633842370000002	-0.108582999999999	-0.175897602	-0.232816051	0.129567746	0.375526814000001	2.56711522	3.006767068	0.265514644	0.00765608399999973	0.324332627	0.497616542999999	-0.225927118	-0.147227839	0.171131297000001	0.192520779000001	-0.00501184700000046	0.164655508	-0.0316114409999999	-0.0564148979999999	-0.192730136000001	-0.0138855260000001	0.312774983	-0.00423440700000022	-0.0581638299999998	3.119933373	-0.145276186999999	0	2.141402763	-0.238098178	-0.0984944499999996	0.677764305	0	-0.0301375505000001	0.0116684569999999	0	-0.0242690760000004	-0.12068611	-0.0903118899999997	-0.22460119	0.426035864	0.636107492	0.298744322	-0.267933611	-0.0585507110000005	0.0278163549999997	1.975435525
